label,category,UUID,URI
Terry- E,conservators - conservator,63f6140a-179a-496a-b0fa-c192098445c7,http://w3id.org/bod-vocabs/63f6140a-179a-496a-b0fa-c192098445c7
Thurn- James,conservators - conservator,2c6b3714-7710-4f7a-b132-c81182576576,http://w3id.org/bod-vocabs/2c6b3714-7710-4f7a-b132-c81182576576
Tichner- Karen,conservators - conservator,13c4046d-de8b-4883-bacd-c67018c5059d,http://w3id.org/bod-vocabs/13c4046d-de8b-4883-bacd-c67018c5059d
Valero- Claire,conservators - conservator,0cb7ba1e-bd78-43ea-bf57-7c2a03b524d8,http://w3id.org/bod-vocabs/0cb7ba1e-bd78-43ea-bf57-7c2a03b524d8
Walters- Grace,conservators - conservator,b3aff5e2-3256-4974-ae5b-84a9134e8da3,http://w3id.org/bod-vocabs/b3aff5e2-3256-4974-ae5b-84a9134e8da3
Wanser- Heather,conservators - conservator,e81a54e7-f851-4c78-9d0f-a5964c17ceef,http://w3id.org/bod-vocabs/e81a54e7-f851-4c78-9d0f-a5964c17ceef
Watson- Mary Elizabeth,conservators - conservator,d83f2b03-7fdb-474a-b96c-69a1acff2aa8,http://w3id.org/bod-vocabs/d83f2b03-7fdb-474a-b96c-69a1acff2aa8
Wetzel- Rachel,conservators - conservator,f3ae1895-3e87-4c98-802a-e9cd0ba234ca,http://w3id.org/bod-vocabs/f3ae1895-3e87-4c98-802a-e9cd0ba234ca
Williams- Emily,conservators - conservator,1c8b6e0c-35c7-4fa9-a935-c0078864d3b2,http://w3id.org/bod-vocabs/1c8b6e0c-35c7-4fa9-a935-c0078864d3b2
Zastrow- Anna,conservators - conservator,6562a5b0-9319-424c-8697-0c0943b15193,http://w3id.org/bod-vocabs/6562a5b0-9319-424c-8697-0c0943b15193
text,documentation - document - type,ae6145cb-c194-4475-b7df-9f5772832cbb,http://w3id.org/bod-vocabs/ae6145cb-c194-4475-b7df-9f5772832cbb
image,documentation - document - type,e86fcd72-9d8e-450f-ae79-7692ec6dc205,http://w3id.org/bod-vocabs/e86fcd72-9d8e-450f-ae79-7692ec6dc205
video,documentation - document - type,a54242b6-3eef-4e4b-b8d5-71a24dbafe0a,http://w3id.org/bod-vocabs/a54242b6-3eef-4e4b-b8d5-71a24dbafe0a
Administrative,documentation - document - subtype,94afb903-19da-4f16-b8c0-d8d7b2bf56b6,http://w3id.org/bod-vocabs/94afb903-19da-4f16-b8c0-d8d7b2bf56b6
Housing,documentation - document - subtype,99cb4360-5b42-4c19-be63-a7b7c4f51d7e,http://w3id.org/bod-vocabs/99cb4360-5b42-4c19-be63-a7b7c4f51d7e
Overhead,documentation - document - subtype,71604656-78d7-4c10-b903-5c8f6d392bf9,http://w3id.org/bod-vocabs/71604656-78d7-4c10-b903-5c8f6d392bf9
Preventive,documentation - document - subtype,54dc3101-c648-453b-8126-a52f3a6f29de,http://w3id.org/bod-vocabs/54dc3101-c648-453b-8126-a52f3a6f29de
Rehousing,documentation - document - subtype,0077eefc-8821-41f6-99bc-e47496904956,http://w3id.org/bod-vocabs/0077eefc-8821-41f6-99bc-e47496904956
Survey,documentation - document - subtype,9aacca36-7414-4125-9a05-aed3ecce2647,http://w3id.org/bod-vocabs/9aacca36-7414-4125-9a05-aed3ecce2647
Treatment,documentation - document - subtype,480cc324-8cb3-487f-ad3a-68cfa954d331,http://w3id.org/bod-vocabs/480cc324-8cb3-487f-ad3a-68cfa954d331
Fol.,description - binding - format,60c25faf-8a4e-4d74-9b55-796a034e6c73,http://w3id.org/bod-vocabs/60c25faf-8a4e-4d74-9b55-796a034e6c73
4°,description - binding - format,76272b60-b0ae-435f-82bd-a09ec6f6b806,http://w3id.org/bod-vocabs/76272b60-b0ae-435f-82bd-a09ec6f6b806
8°,description - binding - format,a84c04c4-0c2e-4cde-b37e-0e0d2a0acb50,http://w3id.org/bod-vocabs/a84c04c4-0c2e-4cde-b37e-0e0d2a0acb50
12°,description - binding - format,92540f52-aa2a-4574-94a7-00bbcce0072c,http://w3id.org/bod-vocabs/92540f52-aa2a-4574-94a7-00bbcce0072c
16°,description - binding - format,2222100a-2cdb-4c43-a201-9f9935a0b2a6,http://w3id.org/bod-vocabs/2222100a-2cdb-4c43-a201-9f9935a0b2a6
32°,description - binding - format,3c7c844d-f210-49c9-8630-97cbaee4abbb,http://w3id.org/bod-vocabs/3c7c844d-f210-49c9-8630-97cbaee4abbb
64°,description - binding - format,df6a7dae-2f86-4b5b-9890-7c39c7cc5a6d,http://w3id.org/bod-vocabs/df6a7dae-2f86-4b5b-9890-7c39c7cc5a6d
mm,binding - dimensions - measurementUnit,2e70d828-8acb-41d8-b2d1-4463320f0a48,http://w3id.org/bod-vocabs/2e70d828-8acb-41d8-b2d1-4463320f0a48
